0,0.0918,294928.9678,5.6755
1,0.0743,207700.3933,10.008
2,0.1205,167511.1376,14.2706
3,0.1184,152194.835,18.1607
4,0.116,144965.1356,22.1387
5,0.1224,140899.9695,26.0981
6,0.1368,138315.2327,29.8863
7,0.1525,136128.5323,33.9633
8,0.1686,134024.1831,37.9224
9,0.1858,131974.6663,41.7095
10,0.2037,129977.5248,45.8666
11,0.2227,128031.2829,49.7719
12,0.2433,126134.5437,53.618
13,0.263,124285.9559,57.4762
14,0.2831,122484.2107,61.8601
15,0.3047,120728.0387,66.2254
16,0.3247,119016.2078,70.1408
17,0.3441,117347.5207,74.1446
18,0.3626,115720.813,78.0331
19,0.3798,114134.9512,81.8405
20,0.3954,112588.831,85.7607
21,0.4099,111081.376,89.5606
22,0.4248,109611.536,93.5554
23,0.4383,108178.2865,97.7372
24,0.4515,106780.6269,101.5783
25,0.4628,105417.5807,105.9303
26,0.4743,104088.1939,110.2284
27,0.4847,102791.5349,114.0522
28,0.4951,101526.694,117.7571
29,0.5046,100292.7831,121.542
30,0.5151,99088.9349,125.5028
31,0.5251,97914.3032,129.3827
32,0.5338,96768.0624,133.2455
33,0.5415,95649.4071,137.1911
34,0.5489,94557.5522,141.031
35,0.5564,93491.7322,144.8026
36,0.5632,92451.2018,148.7017
37,0.5702,91435.235,152.6245
38,0.5767,90443.1248,156.626
39,0.5826,89474.1838,160.4488
40,0.5889,88527.743,164.3337
41,0.5946,87603.1522,168.2043
42,0.6003,86699.7792,171.8931
43,0.6055,85817.0101,175.9196
44,0.6109,84954.2486,179.7285
45,0.6165,84110.9158,183.6238
46,0.6219,83286.4498,187.2466
47,0.6266,82480.3056,191.2281
48,0.6311,81691.9545,195.3756
49,0.6355,80920.8839,199.1883
50,0.6395,80166.5969,203.1389
51,0.6439,79428.612,206.8722
52,0.6481,78706.4626,210.7238
53,0.6522,77999.6967,214.5257
54,0.6564,77307.8766,218.3091
55,0.6598,76630.5784,222.3586
56,0.6634,75967.3918,226.447
57,0.6668,75317.9194,230.178
58,0.6706,74681.7766,234.0999
59,0.6742,74058.5913,237.9231
60,0.6775,73448.0031,241.6564
61,0.6807,72849.6635,245.6429
62,0.6837,72263.2351,249.4193
63,0.6866,71688.3915,253.4216
64,0.6897,71124.8167,257.2531
65,0.6921,70572.205,261.2108
66,0.6946,70030.2607,265.1401
67,0.6976,69498.6973,268.8039
68,0.7006,68977.2379,272.7735
69,0.7031,68465.6142,276.7058
70,0.7057,67963.5668,280.6159
71,0.7084,67470.8443,284.327
72,0.7109,66987.2036,288.2318
73,0.7134,66512.4091,292.7295
74,0.7153,66046.2328,297.1668
75,0.7178,65588.4539,301.0086
76,0.7199,65138.8585,305.5183
77,0.7218,64697.2396,309.3241
78,0.7243,64263.3963,313.3216
79,0.7264,63837.1342,316.9678
80,0.7285,63418.265,321.0224
81,0.7304,63006.6061,324.7825
82,0.7321,62601.9803,328.6257
83,0.7338,62204.2161,332.5582
84,0.7358,61813.1472,336.5187
85,0.7375,61428.6122,340.2799
86,0.7392,61050.4546,344.4292
87,0.7408,60678.5226,348.0545
88,0.7426,60312.6689,352.0618
89,0.7442,59952.7507,355.985
90,0.7459,59598.6292,359.7563
91,0.7475,59250.1698,363.6421
92,0.7491,58907.2419,367.4565
93,0.7509,58569.7185,371.5781
94,0.7523,58237.4765,375.472
95,0.7539,57910.3962,379.3417
96,0.7553,57588.3613,383.5025
97,0.7567,57271.2589,387.5346
98,0.7578,56958.9793,391.3157
99,0.759,56651.4158,395.3457
100,0.7603,56348.4647,399.136
101,0.7614,56050.0254,403.3343
102,0.7627,55755.9998,407.5479
103,0.7642,55466.2926,411.6767
104,0.7656,55180.8112,415.7611
105,0.7668,54899.4656,419.5792
106,0.768,54622.168,423.5345
107,0.7692,54348.8331,427.3382
108,0.7703,54079.3779,431.2328
109,0.7712,53813.7217,435.3907
110,0.7722,53551.7857,439.1443
111,0.7732,53293.4936,443.2617
112,0.7745,53038.7707,447.0784
113,0.7755,52787.5444,450.86
114,0.7767,52539.7442,454.9846
115,0.7778,52295.301,458.8174
116,0.7787,52054.1479,462.946
117,0.7796,51816.2195,466.7365
118,0.7804,51581.4522,470.5339
119,0.7816,51349.7838,474.7151
120,0.7825,51121.1539,478.5633
121,0.7836,50895.5036,482.4477
122,0.7849,50672.7752,486.3319
123,0.7859,50452.9129,490.2278
124,0.7868,50235.8618,494.3457
125,0.7875,50021.5688,498.2169
126,0.7885,49809.9817,501.9563
127,0.7891,49601.0499,506.0258
128,0.7897,49394.7238,509.735
129,0.7906,49190.9552,513.7929
130,0.7914,48989.6968,517.7313
131,0.7923,48790.9028,521.5918
132,0.7931,48594.528,525.5113
133,0.7938,48400.5288,529.3935
134,0.7946,48208.8622,533.4705
135,0.7953,48019.4864,537.5085
136,0.796,47832.3607,541.1722
137,0.7967,47647.445,545.2671
138,0.7976,47464.7005,549.2334
139,0.7984,47284.089,553.2661
140,0.7988,47105.5734,557.1948
141,0.7995,46929.1173,560.8753
142,0.8001,46754.6851,565.0521
143,0.8006,46582.2421,568.7871
144,0.8012,46411.7544,572.8627
145,0.8022,46243.1887,576.8108
146,0.8027,46076.5127,580.8585
147,0.8034,45911.6945,584.8657
148,0.8042,45748.7032,588.7202
149,0.805,45587.5082,593.1988
150,0.8056,45428.0801,597.6346
151,0.8063,45270.3896,601.6458
152,0.8068,45114.4084,605.8147
153,0.8075,44960.1086,609.7923
154,0.8081,44807.463,613.8249
155,0.8088,44656.445,617.6556
156,0.8094,44507.0284,621.3495
157,0.81,44359.1878,625.4553
158,0.8107,44212.8981,629.3292
159,0.8112,44068.1348,633.3397
160,0.8116,43924.8741,637.1845
161,0.8121,43783.0923,641.0326
162,0.8126,43642.7665,645.169
163,0.8131,43503.8742,648.9128
164,0.8137,43366.3933,652.8269
165,0.8143,43230.3023,656.8618
166,0.8149,43095.5798,660.5213
167,0.8154,42962.2052,664.5753
168,0.816,42830.1581,668.4272
169,0.8165,42699.4186,672.5089
170,0.8169,42569.9672,676.4051
171,0.8172,42441.7846,680.1513
172,0.8178,42314.8521,684.1273
173,0.8183,42189.1513,688.247
174,0.8189,42064.6642,692.0768
175,0.8194,41941.3729,696.0634
176,0.8199,41819.2603,699.7925
177,0.8204,41698.3091,703.8269
178,0.821,41578.5028,708.3477
179,0.8213,41459.8248,712.6555
180,0.8218,41342.2593,716.6425
181,0.8222,41225.7903,720.5722
182,0.8228,41110.4023,724.4306
183,0.8232,40996.0803,728.3754
184,0.8237,40882.8093,732.3478
185,0.8243,40770.5746,736.2741
186,0.8247,40659.3618,739.9955
187,0.8251,40549.157,743.9584
188,0.8256,40439.9462,747.9305
189,0.826,40331.7158,751.7046
190,0.8265,40224.4526,755.7577
191,0.8268,40118.1433,759.5102
192,0.8273,40012.7751,763.6222
193,0.8277,39908.3354,767.4494
194,0.828,39804.8118,771.5088
195,0.8284,39702.192,775.5067
196,0.8289,39600.4641,779.5633
197,0.8294,39499.6163,783.3975
198,0.8297,39399.6371,787.2089
199,0.8301,39300.515,791.1038
200,0.8304,39202.239,794.9407
201,0.8307,39104.7979,798.7667
202,0.8312,39008.1811,802.6622
203,0.8315,38912.378,806.6637
204,0.8318,38817.3781,810.5058
205,0.8322,38723.1712,814.5576
206,0.8327,38629.7471,818.3827
207,0.833,38537.0961,822.4978
208,0.8333,38445.2084,826.3263
209,0.8338,38354.0743,830.2257
210,0.8342,38263.6846,834.345
211,0.8346,38174.0298,838.2481
212,0.835,38085.101,842.0214
213,0.8353,37996.8891,845.9336
214,0.8356,37909.3854,849.8351
215,0.8358,37822.5812,853.7271
216,0.836,37736.4679,857.6435
217,0.8364,37651.0372,861.4059
218,0.8367,37566.2808,865.5158
219,0.8371,37482.1906,869.2886
220,0.8374,37398.7586,873.3566
221,0.8377,37315.9769,877.244
222,0.838,37233.8379,881.1329
223,0.8383,37152.3338,885.0543
224,0.8386,37071.4572,888.9909
225,0.8389,36991.2007,893.5599
226,0.8392,36911.557,898.0197
227,0.8394,36832.519,901.9069
228,0.8398,36754.0796,905.9375
229,0.8401,36676.232,909.7955
230,0.8403,36598.9692,913.8452
231,0.8406,36522.2845,917.4383
232,0.8409,36446.1714,921.2996
233,0.8411,36370.6233,925.2264
234,0.8414,36295.6337,928.9791
235,0.8417,36221.1964,933.2557
236,0.842,36147.3052,937.1182
237,0.8422,36073.9538,940.9335
238,0.8426,36001.1362,944.8257
239,0.8428,35928.8465,948.8158
240,0.8432,35857.0789,953.0217
241,0.8434,35785.8274,956.9989
242,0.8436,35715.0865,961.9728
243,0.844,35644.8505,966.1844
244,0.8441,35575.1139,970.1174
245,0.8444,35505.8712,974.1377
246,0.8447,35437.117,977.7231
247,0.845,35368.8461,981.6412
248,0.8454,35301.0532,985.6885
249,0.8456,35233.7332,989.5197
250,0.8459,35166.881,993.5668
251,0.8461,35100.4916,997.5243
252,0.8464,35034.56,1001.2437
253,0.8466,34969.0815,1005.5269
254,0.8468,34904.0512,1009.9037
255,0.8471,34839.4644,1013.9426
256,0.8474,34775.3164,1017.7158
257,0.8476,34711.6026,1021.6117
258,0.848,34648.3185,1025.7086
